"UGO","Uige","Uige","Angola","AO",-7.583333,14.983333,502,"Angola",\N,2236568,3351879
"CEO","Waco Kungo","Waco Kungo","Angola","AO",-13.333333,14.500000,502,"Angola",\N,\N,3351879
"XGN","Xangongo","Xangongo","Angola","AO",-16.750000,14.967222,502,"Angola",\N,\N,3351879
"AXA","Wallblake","Anguilla","Anguilla","AI",18.204722,-63.055000,202,"Anguilla",\N,\N,3573511
"TNM","Teniente R. Marsh Martin","Teniente R. Marsh Martin","Antarctica","AQ",62.190833,-58.986667,0,\N,\N,\N,\N
"BBQ","Barbuda","Barbuda","Antigua and Barbuda","AG",17.600000,-61.783333,206,"Antigua en Barbuda",\N,\N,3576396
"ANU","V. C. Bird Intl","St. John's","Antigua And Barbuda","AG",17.136667,-61.792778,206,"Antigua en Barbuda","Saint John's",3576022,3576396
"REL","Almirante Zar","Trelew","Argentina","AR",-43.210556,-65.270278,303,"Argentinië",\N,3833883,3865483
"ARR","Alto Rio Senguerr","Alto Rio Senguerr","Argentina","AR",-45.166667,-71.000000,303,"Argentinië",\N,\N,3865483
"AEP","Arpt. Jorge Newbery","Buenos Aires","Argentina","AR",-34.559167,-58.415556,303,"Argentinië",\N,3435910,3865483
"TUC","Benj Matienzo","Tucuman","Argentina","AR",-26.816667,-65.216667,303,"Argentinië","San Miguel de Tucumán",3836873,3865483
"CSZ","Brigadier Hector Ruiz","Coronel Suarez","Argentina","AR",-37.466667,-61.916667,303,"Argentinië",\N,3860164,3865483
"CVI","Caleta Olivia","Caleta Olivia","Argentina","AR",-46.433333,-67.516667,303,"Argentinië",\N,\N,3865483
"CNQ","Camba Punta","Corrientes","Argentina","AR",-27.450000,-58.766667,303,"Argentinië","Corrientes",3435217,3865483
"IRJ","Capitan Vicente Almando","La Rioja","Argentina","AR",-29.381667,-66.795833,303,"Argentinië",\N,3848950,3865483
"CPG","Carmen De Patagones","Carmen De Patagones","Argentina","AR",-40.800000,-62.983333,303,"Argentinië",\N,\N,3865483
"CTC","Catamarca","Catamarca","Argentina","AR",-28.448333,-65.779722,303,"Argentinië","Catamarca",3837702,3865483
"IGR","Cataratas","Iguazu","Argentina","AR",-25.583333,-54.333333,303,"Argentinië",\N,\N,3865483
"CVH","Caviahue","Caviahue","Argentina","AR",-37.916667,-71.013889,303,"Argentinië",\N,\N,3865483
"CRR","Ceres","Ceres","Argentina","AR",-29.866667,-61.833333,303,"Argentinië",\N,\N,3865483
"CPC","Chapelco","San Martin DeLos Andes","Argentina","AR",-40.083333,-71.133333,303,"Argentinië",\N,\N,3865483
"CNT","Charata","Charata","Argentina","AR",-27.216667,-61.216667,303,"Argentinië",\N,\N,3865483
"CLX","Clorinda","Clorinda","Argentina","AR",-25.333333,-57.666667,303,"Argentinië",\N,\N,3865483
"CCT","Colonia Catriel","Colonia Catriel","Argentina","AR",-37.850000,-67.866667,303,"Argentinië",\N,\N,3865483
"OLN","Colonia Sarmiento","Colonia Sarmiento","Argentina","AR",-45.583333,-69.000000,303,"Argentinië",\N,\N,3865483
"BHI","Comandante","Bahia Blanca","Argentina","AR",-38.716667,-62.183333,303,"Argentinië","Bahía Blanca",3865086,3865483
"CRD","Comodoro Rivadavia","Comodoro Rivadavia","Argentina","AR",-45.783333,-67.466667,303,"Argentinië",\N,3860443,3865483
"COC","Concordia","Concordia","Argentina","AR",-31.300000,-58.016667,303,"Argentinië",\N,3435261,3865483
"UZU","Curuzu Cuatia","Curuzu Cuatia","Argentina","AR",-29.783333,-58.016667,303,"Argentinië",\N,\N,3865483
"CUT","Cutral","Cutral","Argentina","AR",-38.966667,-69.250000,303,"Argentinië",\N,\N,3865483
"EHL","El Bolson","El Bolson","Argentina","AR",-41.966667,-71.516667,303,"Argentinië",\N,\N,3865483
"JUJ","El Cadillal","Jujuy","Argentina","AR",-24.233333,-65.266667,303,"Argentinië",\N,3836564,3865483
"FTE","El Calafate","El Calafate","Argentina","AR",-50.280278,-72.053056,303,"Argentinië",\N,3858677,3865483
"EMX","El Maiten","El Maiten","Argentina","AR",-42.068056,-71.155556,303,"Argentinië",\N,\N,3865483
"EPA","El Palomar","El Palomar","Argentina","AR",-28.083333,-64.283333,303,"Argentinië",\N,\N,3865483
"MDZ","El Plumerillo","Mendoza","Argentina","AR",-32.833333,-68.783333,303,"Argentinië",\N,3844421,3865483
"FMA","El Pucu","Formosa","Argentina","AR",-26.212778,-58.228056,303,"Argentinië","Formosa",3433899,3865483
"PMY","El Tehuelche","Puerto Madryn","Argentina","AR",-42.733333,-65.066667,303,"Argentinië","Puerto Madryn",3840092,3865483
"ELO","Eldorado","Eldorado","Argentina","AR",-26.400000,-54.633333,303,"Argentinië",\N,\N,3865483
"EQS","Esquel","Esquel","Argentina","AR",-42.916667,-71.150000,303,"Argentinië",\N,\N,3865483
"EZE","Ezeiza Ministro Pistarini","Buenos Aires","Argentina","AR",-34.822222,-58.535833,303,"Argentinië",\N,3435910,3865483
"ROS","Fisherton","Rosario","Argentina","AR",-32.833333,-60.716667,303,"Argentinië","Rosario",3838583,3865483
"SLA","Gen Belgrano","Salta","Argentina","AR",-24.850000,-65.483333,303,"Argentinië","Salta",3838233,3865483
"GPO","General Pico","General Pico","Argentina","AR",-35.700000,-63.750000,303,"Argentinië",\N,3855075,3865483
"GNR","General Roca","General Roca","Argentina","AR",-39.033333,-67.583333,303,"Argentinië",\N,3855065,3865483
"VGS","General Villegas","General Villegas","Argentina","AR",-35.033333,-63.016667,303,"Argentinië",\N,\N,3865483
"GGS","Gobernador Gregores","Gobernador Gregores","Argentina","AR",-48.766667,-70.200000,303,"Argentinië",\N,\N,3865483
"OYA","Goya","Goya","Argentina","AR",-29.100000,-59.250000,303,"Argentinië",\N,3433715,3865483
"GHU","Gualeguaychu","Gualeguaychu","Argentina","AR",-33.016667,-58.583333,303,"Argentinië",\N,3433658,3865483
"IGB","Ingeniero Jacobacci","Ingeniero Jacobacci","Argentina","AR",-41.300000,-69.583333,303,"Argentinië",\N,\N,3865483
"RGL","Internacional","Rio Gallegos","Argentina","AR",-51.650000,-69.200000,303,"Argentinië",\N,3838859,3865483
"BRC","International","San Carlos DeBariloche","Argentina","AR",-41.133333,-71.166667,303,"Argentinië",\N,\N,3865483
"USH","Islas Malvinas","Ushuaia","Argentina","AR",-54.843333,-68.295833,303,"Argentinië","Ushuaia",3833367,3865483
"JSM","Jose De San Martin","Jose De San Martin","Argentina","AR",-44.033333,-70.466667,303,"Argentinië",\N,\N,3865483
"JNI","Junin","Junin","Argentina","AR",-34.583333,-60.966667,303,"Argentinië",\N,3853354,3865483
"LCM","La Cumbre","La Cumbre","Argentina","AR",-31.000000,-64.533333,303,"Argentinië",\N,\N,3865483
"LPG","La Plata","La Plata","Argentina","AR",-34.916667,-57.950000,303,"Argentinië","La Plata",3432043,3865483
"ING","Lago Argentino","Lago Argentino","Argentina","AR",-50.333333,-72.250000,303,"Argentinië",\N,3858677,3865483
"LHS","Las Heras","Las Heras","Argentina","AR",-46.533333,-68.950000,303,"Argentinië",\N,\N,3865483
"LLS","Las Lomitas","Las Lomitas","Argentina","AR",-24.700000,-60.600000,303,"Argentinië",\N,\N,3865483
"LCP","Loncopue","Loncopue","Argentina","AR",-38.066667,-70.616667,303,"Argentinië",\N,\N,3865483
"LMD","Los Menucos","Los Menucos","Argentina","AR",-40.833333,-68.133333,303,"Argentinië",\N,\N,3865483
"LGS","Malargue","Malargue","Argentina","AR",-35.493611,-69.574167,303,"Argentinië",\N,\N,3865483
"MQD","Maquinchao","Maquinchao","Argentina","AR",-41.250000,-68.733333,303,"Argentinië",\N,\N,3865483
